appid,title,total_reviews,review_percent
282100,Fearless Fantasy,1108,74.64
282140,SOMA,50239,95.9
282400,SuperPower 2 Steam Edition,2827,79.45
282440,Quake Live,15705,86.55
282530,Castlevania: Lords of Shadow – Mirror of Fate HD,2597,83.94
282760,Circuits,2101,88.77
282800,100% Orange Juice,29664,91.23
282900,Hyperdimension Neptunia Re;Birth1,12194,94.21
283160,House of the Dying Sun,1993,89.51
283290,Nosferatu: The Wrath of Malachi,3157,87.33
283230,Spoiler Alert,1292,76.08
283640,Salt and Sanctuary,21443,89.35
283680,Astebreed: Definitive Edition,1617,88.13
283880,Heroine's Quest: The Herald of Ragnarok,1402,87.95
283960,Pajama Sam: No Need to Hide When It's Dark Outside,1310,97.56
284050,Sanitarium,1300,93.23
284160,BeamNG.drive,381482,97.42
284240,Maize,2102,81.45
284390,The Last Door - Collector's Edition,2419,94.5
284460,DeadCore,2039,84.99
284770,Enigmatis 2: The Mists of Ravenwood,1595,97.18
284710,Abyss: The Wraiths of Eden,1527,90.18
284830,Clockwork Tales: Of Glass and Ink,1139,92.1
284870,9 Clues: The Secret of Serpent Creek,1508,90.12
284850,Grim Legends: The Forsaken Bride,1685,95.49
284950,Pixel Puzzles: Japan,2657,81.03
285110,GearCity,1465,89.56
285160,LEGO® The Hobbit™,10342,80.74
285310,RollerCoaster Tycoon®: Deluxe,8068,94.32
285330,RollerCoaster Tycoon® 2: Triple Thrill Pack,5690,89.53
285500,Hard Truck Apocalypse / Ex Machina,2689,83.97
285740,Kitty Powers' Matchmaker,1918,96.4
285800,Braveland,3195,81.44
285900,Gang Beasts,63496,85.33
285920,TerraTech,24413,91.36
286000,Tooth and Tail,4109,79.82
286040,Dead Effect,3750,73.12
286100,You Have to Win the Game,5713,92.89
286160,Tabletop Simulator,72053,95.93
286260,fault - milestone one,3227,92.41
286690,Metro 2033 Redux,127902,92.04
287020,Harvester,1638,91.15
287290,Resident Evil Revelations 2,30514,78.13
287310,Re-Volt,1427,90.82
287390,Metro: Last Light Redux,74918,90.95
287450,Rise of Nations: Extended Edition,15454,94.66
287630,The Council,5569,83.95
287700,METAL GEAR SOLID V: THE PHANTOM PAIN,105813,91.89
287980,Mini Metro,16366,96.09
288060,Whispering Willows,1859,82.03
288120,Dungeonmans,1210,91.07
288160,The Room,30902,97.73
288470,Fable Anniversary,15801,85.94
288570,Wolfenstein: The New Order,2366,86.22
289070,Sid Meier’s Civilization® VI,370499,85.97
289130,ENDLESS™ Legend,18940,83.51
289300,Faces of War,1182,88.24
289520,King's Bounty: Dark Side,1868,74.09
289650,Assassin's Creed® Unity,81601,78.02
289950,Construction Simulator 2015,6825,82.29
289930,TransOcean: The Shipping Company,1309,74.1
290100,Bulwark: Falconeer Chronicles,1391,85.12
290300,Rebel Galaxy,8189,85.3
290340,Armello,15961,81.89
290510,GNOG,1055,91.56
290470,Onigiri,1220,71.39
290730,My Lands: Black Gem Hunting,3308,83.46
290770,The Fall,3696,87.82
290890,You Must Build A Boat,1080,81.94
291550,Brawlhalla,402146,80.59
291650,Pillars of Eternity,25457,88.44
291860,Pit People®,8107,92.9
292030,The Witcher 3: Wild Hunt,862259,96.78
292120,FINAL FANTASY® XIII,19117,75.05
292180,X-Plane 10 Global - 64 Bit,1014,70.91
292410,Street Racing Syndicate,4270,84.68
292500,Kero Blaster,1496,93.98
292930,Black Mirror I,1439,83.81
292910,Deponia: The Complete Journey,6693,84.97
292990,NOBUNAGA'S AMBITION: Souzou,1211,86.46
293260,Card Hunter,5285,85.51
293760,Automation - The Car Company Tycoon Game,16850,93.76
293780,Crawl,7214,94.72
294040,Loot Hero DX,1512,73.81
294100,RimWorld,235299,97.9
294140,They Breathe,1289,83.94
294810,BlazBlue: Continuum Shift Extend,1624,90.27
294860,Valkyria Chronicles™,13127,90.1
295690,PARTICLE MACE,1370,87.88
295790,Never Alone (Kisima Ingitchuna),8618,80.56
296470,Mount Your Friends,7681,95.3
296490,GemCraft - Chasing Shadows,4315,94.95
296570,Lords of Xulima,1251,80.5
296710,Monstrum,3652,90.58
296910,8BitBoy™,1944,73.51
296870,Dreaming Sarah,2853,90.68
297000,Heroes® of Might & Magic® III - HD Edition,24269,79.59
296970,Renowned Explorers: International Society,2884,91.57
297020,The Culling Of The Cows,3449,74.37
297110,Cosmic DJ,1053,87.94
297130,Titan Souls,13463,78.99
297120,Heavy Bullets,1560,81.73
297860,Split/Second,2465,81.18
298110,Far Cry® 4,68105,84.65
298160,Eldevin,1782,79.8
298180,The Desolate Hope,1763,92.46
298030,Total Annihilation,3666,96.51
298520,Orbital Gear,1800,82.89
298050,Master of Orion,8093,77.02
298600,Lovely Planet,2686,90.54
298630,The Escapists,16152,90.21
299680,Tengami,1812,81.02
299720,Terrorhedron Tower Defense,1173,84.06
299950,GET EVEN,1773,75.8
300380,Road Redemption,13247,82.65
300570,Infinifactory,2453,94.94
300550,Shadowrun: Dragonfall - Director's Cut,6462,89.4
300820,Disney•Pixar Toy Story 3: The Video Game,1977,70.66
301120,Eastside Hockey Manager,1363,85.84
301190,Frederic: Resurrection of Music,1040,83.08
301280,Skin Deep,1589,94.65
301320,NoLimits 2 Roller Coaster Simulation,1630,96.75
301640,Zombie Army Trilogy,18298,85.92
301650,Battlezone 98 Redux,1119,91.42
301760,Disney•Pixar Cars 2: The Video Game,1278,77.31
301860,Submerged,4807,76.01
301910,Saints Row: Gat out of Hell,9689,75.28
301970,Screencheat,1919,91.82
302080,Bus Driver,2350,82.98
302380,Floating Point,3827,95.66
302510,Ryse: Son of Rome,43596,87.0
302590,Of Guards And Thieves,4325,85.16
302610,Boson X,1576,92.39
302670,Call to Arms,23828,79.38
302710,BlazeRush,1708,87.76
302790,Momodora III,1452,94.08
303210,The Beginner's Guide,22848,88.2
303310,The House in Fata Morgana,5987,94.82
303610,Suicide Guy,3071,88.34
304050,Trove,92645,80.03
304240,Resident Evil,31733,92.19
304410,Hexcells Infinite,4618,96.99
304430,INSIDE,73245,96.99
304650,SUNLESS SEA,9461,83.13
304930,Unturned,561025,91.08
305260,Battle Islands,3435,76.07
305380,Blue Estate The Game,1876,92.27
305620,The Long Dark,116546,90.55
306020,Bloons TD 5,11789,94.71
306130,The Elder Scrolls® Online,158792,81.01
306040,The Howler,2099,77.7
303800,The Witcher Adventure Game,1162,78.06
306660,Ultimate General: Gettysburg,2700,80.56
306760,Obduction,3935,79.72
307050,Shan Gui (山桂),2274,71.9
307070,Memories of a Vagabond,1247,79.95
307110,We Need To Go Deeper,5990,86.24
307230,"I, Zombie",2608,83.74
307580,Technobabylon,1601,94.38
307640,Stick RPG 2: Director's Cut,1100,84.45
307670,Hard West,4869,75.09
307690,Sleeping Dogs: Definitive Edition,75267,93.96
307780,Mortal Kombat X,58831,85.98
307950,Caliber,22018,75.41
307960,IL-2 Sturmovik: Battle of Stalingrad,9599,79.28
308040,Back to Bed,2899,81.3
308060,Black The Fall,1796,77.9
308420,Ziggurat,3951,85.24
308600,Skillshot City,2579,83.44
310060,Knights of Pen and Paper 2,2824,87.25
310080,Hatoful Boyfriend,7550,94.05
310360,Higurashi When They Cry Hou - Ch.1 Onikakushi,6152,96.47
310370,The Way of Life Free Edition,6164,74.11
310510,Deathtrap,2243,83.99
310790,Geometry Wars™ 3: Dimensions Evolved,1573,89.7
311010,The Way,1295,83.01
311210,Call of Duty®: Black Ops III,226027,84.81
311190,Super Panda Adventures,1019,92.54
311240,Zero Escape: Zero Time Dilemma,4704,82.1
311290,SpellForce 3 Reforced,7803,76.84
311340,METAL GEAR SOLID V: GROUND ZEROES,17792,84.66
311690,Enter the Gungeon,88116,95.28
311560,Assassin’s Creed® Rogue,20930,86.17
311770,LEGO® Pirates of the Caribbean: The Video Game,5470,91.13
311870,Super Trench Attack!,1286,90.59
312150,Wild Warfare,1093,72.55
312200,Chasm,2596,73.31
312520,Rain World,49977,94.09
312610,METAL SLUG X,3814,87.94
312540,Ys VI: The Ark of Napishtim,1463,89.68
312450,Order of Battle: World War II,3114,78.32
312530,Duck Game,38914,96.59
312660,Sniper Elite 4,61786,91.22
312750,Final Fantasy IV (3D Remake),3121,84.08
312780,Way of the Samurai 4,2007,77.98
312670,Strange Brigade,11122,84.3
312840,Fahrenheit: Indigo Prophecy Remastered,8133,79.47
312980,Graviteam Tactics: Mius-Front,1094,89.03
313020,Soul Gambler,2714,87.03
312990,The Expendabros,18233,97.22
313120,Stranded Deep,46958,74.38
313160,Farming Simulator 15,15682,92.43
313340,Mountain,16290,88.19
313480,Blitzkrieg Anthology,1518,90.18
313500,Blitzkrieg 2 Anthology,1270,84.65
313630,The Solus Project,2611,79.85
313690,LEGO® Batman™ 3: Beyond Gotham,9939,88.44
313740,Sakura Spirit,6880,78.4
313780,Conarium,2239,77.18
314000,Pool Nation FX Lite,2546,72.78
313730,Sunrider: Mask of Arcadius,2809,92.27
314020,Morphopolis,4840,83.14
314160,Microsoft Flight Simulator X: Steam Edition,26166,86.52
314230,Rodina,1327,93.14
314410,Rampage Knights,3592,92.76
314450,Star Saviors,1682,82.1
314650,SpaceEngine,14749,96.07
314660,Oddworld: New 'n' Tasty,3601,85.59
314790,Silence,2689,83.97
314810,Randal's Monday,1707,78.32
314980,Supreme Ruler Ultimate,1247,76.9
314970,Age of Conquest IV,2802,81.73
315430,Polarity,4675,79.34
315460,Dig or Die,4265,90.48
315660,Trainz: A New Era,2484,75.52
315810,eden*,5021,97.41
316610,A Good Snowman Is Hard To Build,1145,95.37
316790,Grim Fandango Remastered,8632,90.62
317250,Airscape - The Fall of Gravity,2660,82.03
317360,Double Action: Boogaloo,11391,93.06
317410,Color Symphony,1289,73.0
317470,Cubic Castles,4269,74.05
317820,Guild of Dungeoneering Ultimate Edition,2611,76.87
318130,Doom & Destiny,2411,96.23
318230,Convoy,1459,78.55
318430,Squishy the Suicidal Pig,3366,83.27
318530,Wings of Vi,1258,79.41
318600,The Flame in the Flood,7255,76.09
319050,Chaos Reborn,1134,75.31
319510,Five Nights at Freddy's,57634,93.73
319480,Odallus: The Dark Call,1344,88.1
319630,Life is Strange - Episode 1,172065,96.22
319830,AX:EL - Air XenoDawn,1283,75.84
319870,Jenny LeClue - Detectivu,1353,87.21
320040,Moon Hunters,5198,78.13
320140,Absolute Drift,3157,87.52
320240,We Happy Few,13630,76.81
320300,Car Mechanic Simulator 2015,14610,92.38
320430,Ascension: Deckbuilding Game,1674,88.83
321270,UNLOVED,2099,73.37
321360,Primal Carnage: Extinction,9443,83.29
321400,Supraball,3234,77.03
321480,Sigils of Elohim,1192,91.44
321800,Icewind Dale: Enhanced Edition,3540,89.89
322110,20XX,4504,91.12
322170,Geometry Dash,557153,93.08
322190,SteamWorld Heist,6129,93.85
322210,"Guns, Gore & Cannoli",4192,91.63
322290,Gurumin: A Monstrous Adventure,1077,91.18
322330,Don't Starve Together,527043,95.06
322500,SUPERHOT,39881,91.43
322450,FRAMED Collection,3223,93.36
322770,Vanishing Realms™,2574,90.09
322680,BLACKHOLE,1062,85.22
323220,Vagante,4978,89.25
323320,Grow Home,5557,91.81
323380,The Magic Circle,1494,92.5
323580,Jotun: Valhalla Edition,8537,77.19
323470,DRAGON BALL XENOVERSE,21583,89.83
323720,Decay: The Mare,2019,76.03
323850,Move or Die,23281,89.32
324080,Rising World,5830,85.63
324160,CLANNAD,10414,98.39
324310,Bus Simulator 16,3758,71.02
324570,Halo: Spartan Strike,1644,79.87
324680,Impossible Creatures Steam Edition,1796,95.6
324800,Shadow Warrior 2,27884,87.18
324810,TOXIKK™,5899,77.25
325120,Notch - The Innocent LunA: Eclipsed SinnerS,3292,95.26
325210,Arctico,2414,70.88
325260,PANZER BALL,1227,89.73
325610,Total War: ATTILA,36900,82.33
326190,Alchemy Mysteries: Prague Legends,1186,77.91
326360,Warspear Online,3048,72.28
326410,Windward,3625,79.7
326480,If My Heart Had Wings,4606,92.34
326460,ShellShock Live,35313,93.1
327030,Worms W.M.D,13559,85.5
327220,Anna's Quest,2449,88.0
327400,Sid Meier's Colonization (Classic),1099,96.0
327510,WASTED,1179,77.01
327410,A Bird Story,10641,84.92
327560,Near Death,1059,90.93
327860,Salt,2246,76.49
327890,I Am Bread,5918,77.59
328070,Reflex Arena,1551,85.04
328080,Rise to Ruins,7736,87.77
328760,SanctuaryRPG: Black Edition,1586,91.3
329050,Devil May Cry 4 Special Edition,20432,87.55
329070,SpyParty,1585,77.48
329110,Gems of War - Puzzle RPG,10651,78.87
329130,Reassembly,4064,94.07
329380,Stealth Inc 2: A Game of Clones,1039,75.65
329430,State of Decay: YOSE,12777,82.26
329490,Phantom Breaker: Battle Grounds Classic,3032,82.92
329830,The Moon Sliver,1143,76.03
329860,Catlateral Damage,1371,89.2
329970,KeeperRL,1762,84.05
330020,Children of Morta,22480,88.54
330390,GRANDIA II HD Remaster,2575,84.97
330580,Shark Attack Deathmatch 2,1886,75.61
331160,Disney•Pixar Cars,2789,90.79
330830,Tales from the Borderlands,19264,94.27
330820,2064: Read Only Memories,1663,79.56
331440,bit Dungeon II,2212,82.32
331470,Everlasting Summer,77105,94.57
331480,Pinstripe,2604,89.21
331500,Executive Assault,1455,85.22
331600,One Piece Pirate Warriors 3,10688,78.38
331670,The Jackbox Party Pack,1898,90.89
331690,Crossing Souls,1522,78.45
331750,Disney•Pixar WALL-E,1362,96.77
331870,AER Memories of Old,7603,85.64
332200,Axiom Verge,6425,90.38
332310,LEGO® Worlds,15554,78.31
332570,Amazing Frog?,11371,94.17
332800,Five Nights at Freddy's 2,25384,93.7
332950,Dark Deception,23127,88.7
333250,Forward to the Sky,2213,82.06
333300,ADOM (Ancient Domains Of Mystery),1594,84.38
333420,Cossacks 3,15674,82.12
333640,Caves of Qud,12042,95.28
333600,NEKOPARA Vol. 1,27181,95.12
333930,Dirty Bomb®,56908,81.3
333980,AKIBA'S TRIP: Undead ＆ Undressed,3391,84.84
334210,Fortified,1718,74.45
334230,Town of Salem,36317,87.98
334310,Plebby Quest: The Crusades,2870,85.54
334420,Out There: Ω Edition,1714,75.67
334540,Vox Machinae,1270,87.95
334940,Yoku's Island Express,5136,95.91
334920,Zero-K,4212,93.66
335000,Tormentum - Dark Sorrow,2654,94.12
335240,Transformice,28476,88.07
335300,DARK SOULS™ II: Scholar of the First Sin,126208,83.99
335620,Star Traders: Frontiers,3751,83.71
335670,LISA: The Painful,14930,95.46
336140,Unavowed,2525,95.6
337000,Deus Ex: Mankind Divided,41662,76.29
337150,Sentinels of the Multiverse,1650,89.7
337320,Paint the Town Red,31585,95.95
337340,Finding Paradise,19856,97.73
338170,Ratz Instagib,3923,89.8
339190,Dead Synchronicity: Tomorrow Comes Today,1551,83.49
339200,Oceanhorn: Monster of Uncharted Seas,2130,79.67
339350,Choice of Robots,1999,96.05
339340,Resident Evil 0,16760,80.99
339400,Runestone Keeper,2460,84.43
339610,Freestyle 2: Street Basketball,12726,72.12
339800,HuniePop,31611,95.6
340000,Headlander,1047,90.64
340050,Survivalist,2557,80.05
340150,Basement,2213,70.18
340490,Subterrain,1385,76.17
340730,Sunrider Academy,1139,82.88
341000,Mad Games Tycoon,4409,90.77
341310,Greyfox RPG,2018,76.31
341500,Camera Obscura,1538,72.11
341800,Keep Talking and Nobody Explodes,16627,97.39
341940,Hatred,27334,84.31
342180,Arizona Sunshine®,9297,79.23
342200,MechWarrior Online™ Legends,12580,80.45
342300,Zombie Kill of the Week - Reborn,1122,90.64
342380,Sakura Angels,2164,83.55
342580,12 Labours of Hercules,3022,93.51
342560,Airships: Conquer the Skies,6376,95.92
342940,Project: Gorgon,4308,86.86
342980,Destination Sol,1361,79.06
343100,Overture,1262,75.04
343360,Particula,2440,70.04
343440,Crash Drive 2,1448,89.92
343780,Cat Goes Fishing,15534,94.14
343860,Tacoma,4712,86.21
344770,fault - milestone two side:above,2561,96.13
344740,CRYPTARK,1913,82.38
344850,Big Pharma,1918,77.37
345090,Ancient Planet Tower Defense,1182,82.15
345180,Victor Vran ARPG,6420,85.65
345260,Medieval: Total War™ - Collection,2392,70.94
345240,SHOGUN: Total War™ - Collection,1141,88.87
345350,LIGHTNING RETURNS™: FINAL FANTASY® XIII,4666,78.98
345390,King's Quest,2949,90.23
345610,The Fruit of Grisaia,1091,92.67
345650,Without Within,2022,88.33
345660,RIDE,2443,79.9
345820,Shantae and the Pirate's Curse,3003,92.84
346010,Besiege,52041,95.26
346110,ARK: Survival Evolved,761929,83.32
346120,Boring Man - Online Tactical Stickman Combat,5440,88.09
346250,The Old Tree,3312,90.01
346330,BrainBread 2,5199,73.24
346560,Hero of the Kingdom II,2539,94.45
346900,AdVenture Capitalist,59919,87.65
346940,Shadowrun: Hong Kong - Extended Edition,4763,86.69
347430,Frankenstein: Master of Death,1962,82.87
347620,Gaokao.Love.100Days,8181,89.78
347830,Fairy Fencer F,2373,89.42
348250,Google Earth VR,4086,94.22
348360,Doodle God,1493,75.08
348470,SAMURAI WARRIORS 4-II,1425,73.75
348550,GUILTY GEAR XX ACCENT CORE PLUS R,7524,96.25
348620,Voices from the Sea,1257,92.6
349040,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,90027,91.08
349730,Popup Dungeon,1044,74.71
350070,Environmental Station Alpha,1594,83.12
350080,Wolfenstein: The Old Blood,22655,90.25
350640,Sherlock Holmes: The Devil's Daughter,14217,79.65
350740,The Bug Butcher,1200,90.42
350810,Pixel Puzzles 2: Anime,1008,74.5
351030,Pixel Puzzles Ultimate Jigsaw Puzzles,2767,75.68
351100,Niffelheim,2326,71.32
351510,Quiplash,2245,89.62
351640,Eternal Senia,12010,97.5
351490,Intergalactic Bubbles,1191,78.67
351700,UnReal World,1345,94.5
351710,Hyperdimension Neptunia Re;Birth2: Sisters Generation,3317,91.98
351800,Dev Guy,1780,79.38
351920,Crazy Machines 3,10040,94.37
351940,The Descendant,7154,88.37
351970,Tales of Zestiria,9235,79.97
352400,LEGO® Jurassic World,10671,92.51
352520,The Silent Age,7160,93.28
352720,The Universim,10459,80.16
352890,Caravan,1033,77.44
353090,Chicken Invaders 5,1090,96.42
353270,Hyperdimension Neptunia Re;Birth3 V Generation,3507,94.13
353330,Love at First Sight,1487,96.17
353360,how do you Do It?,2522,84.62
353540,Stephen's Sausage Roll,1903,95.32
353560,Plug & Play,4929,84.5
353640,Train Valley,3401,89.71
353700,The Deadly Tower of Monsters,1402,88.94
354140,Five Nights at Freddy's 3,11022,90.34
354160,WRC 5 FIA World Rally Championship,1699,71.39
354290,LoveBeat,1676,75.24
354240,"Please, Don’t Touch Anything",5489,88.63
354380,Assassin’s Creed® Chronicles: China,3809,74.04
354830,Wolfenstein: The Old Blood,22655,90.25
355050,Sky Force Anniversary,2134,92.22
355130,MotoGP™15,1009,79.98
355180,Codename CURE,16472,84.83
355790,Styx: Shards of Darkness,6726,83.29
355980,Dungeon Warfare,1986,95.87
356040,Sheltered,6209,81.77
356190,Middle-earth™: Shadow of War™,113695,88.84
356400,Thumper,4337,91.79
356500,STAR WARS™ Galactic Battlegrounds Saga,4560,91.49
356520,Port of Call,1270,88.35
356570,Party Hard,12255,90.13
356650,Death's Gambit: Afterlife,5467,81.31
356670,Spooky's Jump Scare Mansion,15319,92.68
357070,UBERMOSH,6006,90.43
357190,ULTIMATE MARVEL VS. CAPCOM 3,7453,91.65
357300,Snakebird,1223,93.46
357330,Space Beast Terror Fright,1771,91.59
357310,Oriental Empires,2985,80.5
357780,Defend Your Life: TD,1091,79.56
358090,D4: Dark Dreams Don’t Die -Season One-,1969,80.45
358130,Curious Expedition,4451,91.22
359050,Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad,9991,95.33
359100,Q.U.B.E. 2,1715,84.26
359310,Evoland 2,3877,87.16
359320,Elite Dangerous,104920,77.33
359390,Amnesia™: Memories,4082,92.26
359510,Tangle Tower,5936,95.17
359550,Tom Clancy's Rainbow Six Siege,1491895,82.57
359840,Shift Happens,4273,77.98
359870,FINAL FANTASY X/X-2 HD Remaster,22163,88.9
360620,Spellsworn,1494,89.09
360640,12 Labours of Hercules II: The Cretan Bull,2094,89.92
360650,12 Labours of Hercules III: Girl Power,1025,86.15
360830,Yooka-Laylee,5364,75.02
360870,Ultimate Tic-Tac-Toe,1545,83.3
360740,Downwell,8482,96.58
360940,The Mean Greens - Plastic Warfare,10230,81.57
361280,Turmoil,15674,92.97
361300,Mother Russia Bleeds,5319,86.82
361420,ASTRONEER,136317,92.01
361550,Cradle,1994,71.01
361630,404Sight,1760,85.23
361990,Lakeview Cabin Collection,1920,92.24
362490,Exanima,13193,80.22
362620,Software Inc.,7618,94.24
362680,Fran Bow,21684,97.42
362930,Garfield Kart,14107,87.57
362890,Black Mesa,140609,95.0
362960,Tyranny,13091,86.92
363440,Mega Man Legacy Collection,5181,86.33
363600,Holy Potatoes! A Weapon Shop?!,2063,71.5
363970,Clicker Heroes,61892,89.64
363930,Dead Age,5579,81.63
364360,Total War: WARHAMMER,52173,78.44
364390,Downfall,1625,94.22
364420,Roguelands,3729,80.29
364930,Koi-Koi Japan [Hanafuda playing cards],1158,91.8
365160,Kona,3577,82.83
365300,Transmissions: Element 120,9888,94.51
365360,Battle Brothers,27001,88.2
365450,Hacknet,25802,93.54
365590,Tom Clancy’s The Division™,95537,70.73
365960,rFactor 2,9002,78.85
366090,Colony Survival,8793,92.08
366220,Wurm Unlimited,3127,71.44
366240,GAROU: MARK OF THE WOLVES,1024,95.12
366250,METAL SLUG,4900,89.35
366260,METAL SLUG 2,1309,89.0
366320,Seasons after Fall,3132,80.59
366760,Adorables,1071,75.91
366870,Narcosis,1425,76.28
367120,Seduce Me the Otome,2175,87.08
367270,Angels Fall First,2785,81.94
367450,Poly Bridge,18421,91.11
367500,Dragon's Dogma: Dark Arisen,48137,88.43
367520,Hollow Knight,531391,96.92
367580,Hook,8905,96.96
368230,Kingdom: Classic,22501,90.66
368260,Marvel's Midnight Suns,23443,81.57
368340,CrossCode,17617,92.85
368360,60 Seconds!,11630,84.84
368390,The Darkside Detective,5058,94.33
368370,Her Story,10201,89.44
368430,Through the Woods,1653,71.39
368500,Assassin's Creed® Syndicate,31988,80.06
368620,Timespinner,3089,85.79
368730,No Time To Explain Remastered,2540,78.82
368950,Jigoku Kisetsukan: Sense of the Seasons,1759,93.23
369070,Slain: Back from Hell,2375,71.66
369990,"Gremlins, Inc.",8552,85.03
370280,Season of 12 Colors,2047,93.8
370360,TIS-100,4036,96.68
370770,Holodrive,1231,78.55
370910,Kathy Rain,3922,92.02
371140,Aegis Defenders,1807,77.92
371200,Halcyon 6: Starbase Commander,1311,83.83
371520,Bounty Train,1701,70.31
371570,Tap Heroes,1368,73.46
371660,Far Cry® Primal,38551,86.12
371970,Barony,14264,91.53
372360,Tales of Symphonia,5084,85.44
372800,RPG MO,2944,78.63
373180,Kung Fury: Street Rage - Ultimate Edition,2488,89.71
373420,Divinity: Original Sin - Enhanced Edition,31509,89.45
373390,Contradiction: Spot The Liar,3218,95.09
373770,LiEat,4589,95.55
373930,Sudden Strike 4,8152,78.19
374040,Portal Knights,22109,83.41
374190,Infernax,2154,93.13
374320,DARK SOULS™ III,431240,94.34
374900,Agatha Christie - The ABC Murders,2995,81.27
375200,Sakura Fantasy,1070,87.1
375450,NOBUNAGA'S AMBITION: Sphere of Influence - Ascension,1078,70.41
375480,Chronicon,9591,94.26
375530,"Football, Tactics & Glory",4141,87.66
375600,Air Brawl,1713,78.93
375820,Human Resource Machine,4603,93.92
375910,Anno 2205™,6253,70.05
375950,Viridi,9496,91.92
376210,The Isle,106548,80.38
376300,GUILTY GEAR Xrd -SIGN-,2777,91.14
376680,Splendor,1450,78.97
377160,Fallout 4,421688,81.13
377530,侠客风云传(Tale of Wuxia),7504,76.53
377680,Sakura Beach,1410,79.5
377840,FINAL FANTASY IX,13462,95.08
377860,Mushihimesama,1519,97.04
378360,Ymir,1110,75.59
378540,The Surge,11662,74.92
378610,Valley,6667,91.45
378720,Thea: The Awakening,3753,88.2
378760,Pixel Starships,2908,73.25
379210,Wayward,1344,86.31
379430,Kingdom Come: Deliverance,177417,84.36
379720,DOOM,216189,95.51
379980,Panzermadels: Tank Dating Simulator,1441,92.16
380150,STASIS,2327,81.69
380600,Fishing Planet,73124,86.76
380840,Teeworlds,4367,88.66
381020,Sky Rogue,1201,92.51
381210,Dead by Daylight,883994,78.61
381780,80 Days,2017,90.38
381940,Trials on Tatooine,1395,79.07
382140,SKYHILL,5541,78.05
382310,Eco,13756,80.95
382490,Relic Hunters Zero: Remix,6754,93.16
382560,Hot Lava,6081,93.11
383080,Sakura Clicker,14390,83.2
383120,Empyrion - Galactic Survival,34040,78.63
383150,Dead Island Definitive Edition,27106,81.95
383180,Dead Island: Riptide Definitive Edition,12545,71.16
383230,Dungeon Souls,2225,73.75
383270,Hue,11130,92.45
383580,Flesh Eaters,1345,70.78
383870,Firewatch,96697,90.54
383840,Nimbatus - The Space Drone Constructor,2142,78.94
383980,Rivals of Aether,37374,95.94
384110,Pathologic Classic HD,4429,87.56
384180,Prominence Poker,8418,83.65
384190,ABZU,27083,92.93
384360,Fingered,1014,74.95
384570,Zanzarah: The Hidden Portal,1131,72.86
384630,Aviary Attorney,2247,94.66
384740,CAT Interstellar,1080,72.13
385370,Radiator 2: Anniversary Edition,2957,86.17
385380,Planet Centauri,2352,77.04
385710,INK,1579,80.94
385770,Time Clickers,5099,87.17
385800,NEKOPARA Vol. 0,17672,93.75
386070,Planetary Annihilation: TITANS,14410,84.58
386180,Crossout,68012,75.21
386260,Microcosmum: survival of cells,1412,83.5
386360,SMITE®,119883,78.72
386480,Blood Code,2023,73.41
386620,"Cook, Serve, Delicious! 2!!",3012,89.28
386880,Rake,4378,71.04
386940,Ultimate Chicken Horse,51799,95.75
387340,Hyperdimension Neptunia U: Action Unleashed,3009,91.76
387290,Ori and the Blind Forest: Definitive Edition,69816,95.13
387860,the static speaks my name,5717,81.76
388320,1979 Revolution: Black Friday,1084,76.57
388410,Darksiders II Deathinitive Edition,19750,78.62
388090,Five Nights at Freddy's 4,16414,92.91
388210,Day of the Tentacle Remastered,4606,97.03
387990,Scrap Mechanic,116828,91.98
388750,BlazBlue: Chronophantasma Extend,2865,90.75
388800,Azure Striker Gunvolt,1731,85.04
388880,Oxenfree,12020,91.5
389140,Horizon Chase Turbo,5729,92.97
389170,Songs for a Hero - Definitive Edition,4343,96.48
389510,Wild Animal Racing,2697,92.77
389570,Mitos.is: The Game,12000,80.96
389730,TEKKEN 7,94341,83.44
390290,Bulb Boy,2001,86.71
390520,PewDiePie: Legend of the Brofist,1649,90.05
390710,Acceleration of SUGURI 2,1243,78.28
391220,Rise of the Tomb Raider™,149422,94.14
391270,Fingerbones,3581,79.53
391260,Labyronia RPG,1404,75.64
391540,Undertale,316805,96.78
391730,Crashlands,6626,89.57
391720,Layers of Fear (2016),27176,88.48
392110,ENDLESS™ Space 2,22765,83.35
392160,X4: Foundations,27781,79.83
393380,Squad,232896,81.11
393190,TSIOQUE,1872,94.76
393420,Hurtworld,31055,76.05
393430,Ice Lakes,1637,85.95
393520,Iconoclasts,4908,86.31
394160,ARCADE GAME SERIES: PAC-MAN,1100,89.27
394310,Punch Club,15440,80.5
394360,Hearts of Iron IV,358672,90.36
394510,HELLDIVERS™ Dive Harder Edition,32896,90.38
394690,Tower Unite,21612,89.83
394760,Dead Effect 2,2284,73.25
394970,DEADBOLT,5537,95.94
395200,Ben and Ed,4636,83.0
395170,DISTRAINT: Deluxe Edition,12676,93.17
395520,Missing Translation,3301,87.58
396480,Battlevoid: Harbinger,1054,79.03
396710,The Adventure Pals,1950,91.9
396750,EVERSPACE™,11359,78.36
396900,GRIP: Combat Racing,4990,84.81
397060,Faeria,7175,83.57
397270,A Kiss For The Petals - Remembering How We Met,1706,93.02
